State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,Core Set Year,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,State-Specific Comments,Rate Used in Calculating State Mean and Median
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 6 to 17,2023,Medicaid only,Administrative,49.9,48,51.5,42.5,60.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 6 to 17,2023,Medicaid only,Administrative,65.6,48,69.6,61.8,76.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 6 to 17,2023,CHIP only,Administrative,49.3,48,51.5,42.5,60.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 6 to 17,2023,CHIP only,Administrative,64.8,48,69.6,61.8,76.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 13 to 17,2023,Medicaid only,Administrative,17.9,41,22.8,19.5,28.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations. Rates were audited or validated.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 13 to 17,2023,Medicaid only,Administrative,39.7,44,33.7,28.1,42.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations. Rates were audited or validated.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 13 to 17,2023,CHIP only,Administrative,DS,41,22.8,19.5,28.3,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 13 to 17,2023,CHIP only,Administrative,DS,44,33.7,28.1,42.2,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2023,Medicaid only,Administrative,40.7,50,47.3,38.6,57.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2023,Medicaid only,Administrative,65.6,50,72.1,62.6,78.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2023,CHIP only,Administrative,40.6,50,47.3,38.6,57.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2023,CHIP only,Administrative,66.4,50,72.1,62.6,78.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least One Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12 ,2023,Medicaid only,Administrative,37.0,50,46.0,42.0,50.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least Two Follow-Up Visits in the 9-Month Continuation and Maintenance Phase: Ages 6 to 12,2023,Medicaid only,Administrative,94.0,49,54.1,49.0,60.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least One Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12 ,2023,CHIP only,Administrative,44.2,50,46.0,42.0,50.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data."" State reported the following deviations: ""Many of the attention-deficit/hyperactivity disorder (ADHD) medications are also used in the treatment of narcolepsy. In order to have a precise ADHD measure, children with narcolepsy were removed from the denominator and both indicators as specified under the optional exclusions for this measure.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least Two Follow-Up Visits in the 9-Month Continuation and Maintenance Phase: Ages 6 to 12,2023,CHIP only,Administrative,56.3,49,54.1,49.0,60.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data."" State reported the following deviations: ""Many of the attention-deficit/hyperactivity disorder (ADHD) medications are also used in the treatment of narcolepsy. In order to have a precise ADHD measure, children with narcolepsy were removed from the denominator and both indicators as specified under the optional exclusions for this measure.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 17,2023,Medicaid only,Administrative,43.6,47,53.1,48.4,59.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 17,2023,Medicaid only,Administrative,24.9,47,34.2,28.4,43.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 17,2023,Medicaid only,Administrative,23.9,47,32.3,26.7,41.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 17,2023,CHIP only,Administrative,46.2,47,53.1,48.4,59.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 17,2023,CHIP only,Administrative,25.9,47,34.2,28.4,43.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 17,2023,CHIP only,Administrative,23.8,47,32.3,26.7,41.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 17,2023,Medicaid only,Administrative,59.6,47,60.5,57.2,67.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rate includes FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 17,2023,CHIP only,Administrative,65.5,47,60.5,57.2,67.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rate includes FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2023,Medicaid only,Administrative,34.8,50,36.5,40.9,33.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rate includes FFS and PCCM populations.,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2023,CHIP only,Administrative,24.0,50,36.5,40.9,33.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rate includes FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5 to 11,2023,Medicaid only,Administrative,88.0,49,75.9,71.3,81.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations. Rates were audited or validated.,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 12 to 18,2023,Medicaid only,Administrative,82.1,49,68.7,64.7,72.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations. Rates were audited or validated.,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5 to 18,2023,Medicaid only,Administrative,85.4,49,71.6,68.3,76.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations. Rates were audited or validated.,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5 to 11,2023,CHIP only,Administrative,88.6,49,75.9,71.3,81.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 12 to 18,2023,CHIP only,Administrative,86.1,49,68.7,64.7,72.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5 to 18,2023,CHIP only,Administrative,87.5,49,71.6,68.3,76.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Avoidance of Antibiotic Treatment for Acute Bronchitis/Bronchiolitis: Ages 3 Months to 17 Years,AAB-CH,Higher rates are better for this measure,Percentage of Episodes for Beneficiaries with a Diagnosis of Acute Bronchitis/Bronchiolitis that did not Result in an Antibiotic Dispensing Event: Ages 3 Months to 17 Years,2023,Medicaid only,Administrative,91.4,44,71.4,64.0,81.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rate includes FFS and PCCM populations.,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Avoidance of Antibiotic Treatment for Acute Bronchitis/Bronchiolitis: Ages 3 Months to 17 Years,AAB-CH,Higher rates are better for this measure,Percentage of Episodes for Beneficiaries with a Diagnosis of Acute Bronchitis/Bronchiolitis that did not Result in an Antibiotic Dispensing Event: Ages 3 Months to 17 Years,2023,CHIP only,Administrative,55.3,44,71.4,64.0,81.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rate includes FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Dental and Oral Health Services,Child Core Set,"Oral Evaluation, Dental Services: Ages <1 through 20",OEV-CH,Higher rates are better for this measure,Percentage of Enrolled Children Under Age 21 Who Received a Comprehensive or Periodic Oral Evaluation: Ages <1 through 20,2023,Medicaid only,Administrative,42.5,38,42.8,39.3,47.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rate includes FFS and PCCM populations.,Yes
Alabama,Dental and Oral Health Services,Child Core Set,"Oral Evaluation, Dental Services: Ages <1 through 20",OEV-CH,Higher rates are better for this measure,Percentage of Enrolled Children Under Age 21 Who Received a Comprehensive or Periodic Oral Evaluation: Ages <1 through 20,2023,CHIP only,Administrative,54.7,38,42.8,39.3,47.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rate includes FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Merative Health Insights database.""",No
Alabama,Dental and Oral Health Services,Child Core Set,Sealant Receipt on Permanent First Molars: Age 10,SFM-CH,Higher rates are better for this measure,Percentage who Received a Sealant on at Least One Permanent First Molar Tooth by their 10th Birthday,2023,Medicaid only,Administrative,37.0,40,48.3,39.8,57.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Dental and Oral Health Services,Child Core Set,Sealant Receipt on Permanent First Molars: Age 10,SFM-CH,Higher rates are better for this measure,Percentage who Received Sealants on All Four Permanent First Molars by their 10th Birthday,2023,Medicaid only,Administrative,27.8,39,35.4,29.6,42.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Dental and Oral Health Services,Child Core Set,Sealant Receipt on Permanent First Molars: Age 10,SFM-CH,Higher rates are better for this measure,Percentage who Received a Sealant on at Least One Permanent First Molar Tooth by their 10th Birthday,2023,CHIP only,Administrative,46.1,40,48.3,39.8,57.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data."" State noted: ""Claims look back period included paid and rejected claims 48 months (2018-01-01 to 2022-12-31) prior to 10th birthday.""",No
Alabama,Dental and Oral Health Services,Child Core Set,Sealant Receipt on Permanent First Molars: Age 10,SFM-CH,Higher rates are better for this measure,Percentage who Received Sealants on All Four Permanent First Molars by their 10th Birthday,2023,CHIP only,Administrative,34.9,39,35.4,29.6,42.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data."" State noted: ""Claims look back period included paid and rejected claims 48 months (2018-01-01 to 2022-12-31) prior to 10th birthday.""",No
Alabama,Dental and Oral Health Services,Child Core Set,Topical Fluoride for Children: Ages 1 through 20,TFL-CH,Higher rates are better for this measure,Percentage of Enrolled Children who Received at Least Two Topical Fluoride Applications as Dental or Oral Health Services: Total (Ages 1 through 20),2023,Medicaid only,Administrative,18.9,37,19.0,16.7,22.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rate includes FFS and PCCM populations.,Yes
Alabama,Dental and Oral Health Services,Child Core Set,Topical Fluoride for Children: Ages 1 through 20,TFL-CH,Higher rates are better for this measure,Percentage of Enrolled Children who Received at Least Two Topical Fluoride Applications as Dental or Oral Health Services: Total (Ages 1 through 20),2023,CHIP only,Administrative,47.2,37,19.0,16.7,22.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rate includes FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Merative Health Insights database.""",No
Alabama,Experience of Care,Child Core Set,CAHPS Health Plan Survey 5.1H - Child Version Including Medicaid and Children with Chronic Conditions Supplemental Items: Ages 0 to 17,CPC-CH,Higher rates are better for this measure,Getting Needed Care Composite,2023,Medicaid,CAHPS 5.1H,66.4,46,60.5,54.2,64.7,,"Agency for Healthcare Research and Quality (AHRQ) and CMS analysis of the AHRQ CAHPS Database for the July 2022 to June 2023 data collection period as of January 24, 2024.",Medicaid rates were calculated using data from the AHRQ CAHPS Database. Rates include FFS population.,Yes
Alabama,Experience of Care,Child Core Set,CAHPS Health Plan Survey 5.1H - Child Version Including Medicaid and Children with Chronic Conditions Supplemental Items: Ages 0 to 17,CPC-CH,Higher rates are better for this measure,Getting Care Quickly Composite,2023,Medicaid,CAHPS 5.1H,80.1,46,70.9,64.1,74.4,,"Agency for Healthcare Research and Quality (AHRQ) and CMS analysis of the AHRQ CAHPS Database for the July 2022 to June 2023 data collection period as of January 24, 2024.",Medicaid rates were calculated using data from the AHRQ CAHPS Database. Rates include FFS population.,Yes
Alabama,Experience of Care,Child Core Set,CAHPS Health Plan Survey 5.1H - Child Version Including Medicaid and Children with Chronic Conditions Supplemental Items: Ages 0 to 17,CPC-CH,Higher rates are better for this measure,How Well Doctors Communicate Composite,2023,Medicaid,CAHPS 5.1H,83.7,46,78.8,76.4,81.5,,"Agency for Healthcare Research and Quality (AHRQ) and CMS analysis of the AHRQ CAHPS Database for the July 2022 to June 2023 data collection period as of January 24, 2024.",Medicaid rates were calculated using data from the AHRQ CAHPS Database. Rates include FFS population.,Yes
Alabama,Experience of Care,Child Core Set,CAHPS Health Plan Survey 5.1H - Child Version Including Medicaid and Children with Chronic Conditions Supplemental Items: Ages 0 to 17,CPC-CH,Higher rates are better for this measure,Health Plan Information and Customer Service Composite,2023,Medicaid,CAHPS 5.1H,74.5,35,68.4,65.5,71.9,,"Agency for Healthcare Research and Quality (AHRQ) and CMS analysis of the AHRQ CAHPS Database for the July 2022 to June 2023 data collection period as of January 24, 2024.",Medicaid rates were calculated using data from the AHRQ CAHPS Database. Rates include FFS population.,Yes
Alabama,Experience of Care,Child Core Set,CAHPS Health Plan Survey 5.1H - Child Version Including Medicaid and Children with Chronic Conditions Supplemental Items: Ages 0 to 17,CPC-CH,Higher rates are better for this measure,Rating of Personal Doctor,2023,Medicaid,CAHPS 5.1H,78.4,46,75.2,73.2,78.0,,"Agency for Healthcare Research and Quality (AHRQ) and CMS analysis of the AHRQ CAHPS Database for the July 2022 to June 2023 data collection period as of January 24, 2024.",Medicaid rates were calculated using data from the AHRQ CAHPS Database. Rates include FFS population.,Yes
Alabama,Experience of Care,Child Core Set,CAHPS Health Plan Survey 5.1H - Child Version Including Medicaid and Children with Chronic Conditions Supplemental Items: Ages 0 to 17,CPC-CH,Higher rates are better for this measure,Rating of Specialist,2023,Medicaid,CAHPS 5.1H,73.5,33,72.4,69.2,73.5,,"Agency for Healthcare Research and Quality (AHRQ) and CMS analysis of the AHRQ CAHPS Database for the July 2022 to June 2023 data collection period as of January 24, 2024.",Medicaid rates were calculated using data from the AHRQ CAHPS Database. Rates include FFS population.,Yes
Alabama,Experience of Care,Child Core Set,CAHPS Health Plan Survey 5.1H - Child Version Including Medicaid and Children with Chronic Conditions Supplemental Items: Ages 0 to 17,CPC-CH,Higher rates are better for this measure,Rating of Health Care,2023,Medicaid,CAHPS 5.1H,70.9,46,68.2,64.9,70.3,,"Agency for Healthcare Research and Quality (AHRQ) and CMS analysis of the AHRQ CAHPS Database for the July 2022 to June 2023 data collection period as of January 24, 2024.",Medicaid rates were calculated using data from the AHRQ CAHPS Database. Rates include FFS population.,Yes
Alabama,Experience of Care,Child Core Set,CAHPS Health Plan Survey 5.1H - Child Version Including Medicaid and Children with Chronic Conditions Supplemental Items: Ages 0 to 17,CPC-CH,Higher rates are better for this measure,Rating of Health Plan,2023,Medicaid,CAHPS 5.1H,71.7,47,71.8,69.0,74.7,,"Agency for Healthcare Research and Quality (AHRQ) and CMS analysis of the AHRQ CAHPS Database for the July 2022 to June 2023 data collection period as of January 24, 2024.",Medicaid rates were calculated using data from the AHRQ CAHPS Database. Rates include FFS population.,Yes
Alabama,Experience of Care,Child Core Set,CAHPS Health Plan Survey 5.1H - Child Version Including Medicaid and Children with Chronic Conditions Supplemental Items: Ages 0 to 17,CPC-CH,Higher rates are better for this measure,Getting Needed Care Composite,2023,CHIP,CAHPS 5.1H,67.6,46,60.5,54.2,64.7,,"Agency for Healthcare Research and Quality (AHRQ) and CMS analysis of the AHRQ CAHPS Database for the July 2022 to June 2023 data collection period as of January 24, 2024.",CHIP rates were calculated using data from the AHRQ CAHPS Database. Rates include FFS population.,No
